Handle,Title,Vendor,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant SKU,Status,Image Src,Type,Metafield: custom.breadCrumbs [single_line_text_field],ID (Ref),Handle (Ref),Import Result,Import Comment
S-13298,S-13298,Arka,FALSE,Size,14x4x4,,,,,0.93,S-13298,draft,https://img.uline.com/is/image/uline/S-13298?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Long Boxes",8.19257E+12,s-13298,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4388,S-4388,Arka,FALSE,Size,13.50x13.50x7.50,,,,,1.79,S-4388,draft,https://img.uline.com/is/image/uline/S-4388?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4388,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-17998,S-17998,Arka,FALSE,Size,14x4x42,,,,,4.72,S-17998,draft,https://img.uline.com/is/image/uline/S-17998?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Moving Boxes > Rifle Boxes",8.19257E+12,s-17998,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-19782,S-19782,Arka,FALSE,Size,14x4x52,,,,,5.66,S-19782,draft,https://img.uline.com/is/image/uline/S-19782?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Moving Boxes > Rifle Boxes",8.19257E+12,s-19782,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-19085,S-19085,Arka,FALSE,Size,14x6x2,,,,,0.98,S-19085,draft,https://img.uline.com/is/image/uline/S-19085?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Long Boxes",8.19257E+12,s-19085,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4527,S-4527,Arka,FALSE,Size,14x6x4,,,,,0.68,S-4527,draft,https://img.uline.com/is/image/uline/S-4527?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Long Boxes",8.19257E+12,s-4527,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4138,S-4138,Arka,FALSE,Size,14x6x6,,,,,0.68,S-4138,draft,https://img.uline.com/is/image/uline/S-4138?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Long Boxes",8.19257E+12,s-4138,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-18920,S-18920,Arka,FALSE,Size,14x10x10,,,,,2.6,S-18920,draft,https://img.uline.com/is/image/uline/S-18920?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Heavy Duty Boxes > 275 Lb. Test Double Wall Boxes",8.19257E+12,s-18920,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4407,S-4407,Arka,FALSE,Size,14x12x12,,,,,2.07,S-4407,draft,https://img.uline.com/is/image/uline/S-4407?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-4407,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4529,S-4529,Arka,FALSE,Size,14x7x7,,,,,1.18,S-4529,draft,https://img.uline.com/is/image/uline/S-4529?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Long Boxes",8.19257E+12,s-4529,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
