n,W,L,H
HF1-B14-050,4.6,11.42,4.06
GG7-925-005,9.5,15,1.51
DG5-399-070,4.53,11.02,4.33
DG5-137-070,4.53,11.02,4.33
DG5-288-060,4.53,11.02,4.33
E54-399-065,4.53,11.02,4.33
E54-399-060,4.53,11.02,4.33
DG5-137-060,4.53,11.02,4.33
E54-137-065,4.53,11.02,4.33
HU8-B24-050,4.53,11.02,4.33
R08-194-070,4.53,11.02,4.33
E54-012-065,4.53,11.02,4.33
J80-399-070,4.53,11.02,4.33
JC8-090-065,4.53,11.02,4.33
DG5-288-065,4.53,11.02,4.33
E54-194-070,4.53,11.02,4.33
DG5-399-060,4.53,11.02,4.33
R08-C42-050,4.53,11.02,4.33
JC8-C34-060,4.53,11.02,4.33
DG5-C99-065,4.53,11.02,4.33
E54-010-065,4.53,11.02,4.33
HU8-B24-060,4.53,11.02,4.33
E54-194-060,4.53,11.02,4.33
HI5-B04-060,4.53,11.02,4.33
DG5-A45-070,4.53,11.02,4.33
HU8-B11-050,4.53,11.02,4.33
E54-194-065,4.53,11.02,4.33
DG5-C44-065,4.53,11.02,4.33
JC8-C53-050,4.53,11.02,4.33
EQ3-A41-040,4.53,11.02,4.33
JB2-C31-060,4.53,11.02,4.33
JC8-090-060,4.53,11.02,4.33
R08-399-050,4.53,11.02,4.33
DG5-288-050,4.53,11.02,4.33
R08-399-070,4.53,11.02,4.33
E54-011-050,4.53,11.02,4.33
JC8-C34-050,4.53,11.02,4.33
E54-010-070,4.53,11.02,4.33
E54-012-070,4.53,11.02,4.33
E54-C29-050,4.53,11.02,4.33
E54-C27-070,4.53,11.02,4.33
E54-137-060,4.53,11.02,4.33
E54-012-060,4.53,11.02,4.33
E54-012-050,4.53,11.02,4.33
E54-137-070,4.53,11.02,4.33
E54-137-050,4.53,11.02,4.33
E54-090-070,4.53,11.02,4.33
JC8-C53-060,4.53,11.02,4.33
DG5-B12-050,4.53,11.02,4.33
R08-194-050,4.53,11.02,4.33
E54-011-065,4.53,11.02,4.33
DG5-399-065,4.53,11.02,4.33
E54-010-060,4.53,11.02,4.33
JC8-C53-070,4.53,11.02,4.33
R08-001-050,4.53,11.02,4.33
E54-011-060,4.53,11.02,4.33
R08-001-065,4.53,11.02,4.33
DG5-137-050,4.53,11.02,4.33
R08-C42-065,4.53,11.02,4.33
JC8-A20-070,4.53,11.02,4.33
DG5-C99-070,4.53,11.02,4.33
HI5-B04-050,4.53,11.02,4.33
R08-001-070,4.53,11.02,4.33
HU8-B11-060,4.53,11.02,4.33
R08-194-060,4.53,11.02,4.33
E54-399-050,4.53,11.02,4.33
JC8-090-070,4.53,11.02,4.33
R08-368-065,4.53,11.02,4.33
R08-399-065,4.53,11.02,4.33
DG5-137-065,4.53,11.02,4.33
DG5-399-050,4.53,11.02,4.33
E54-010-050,4.53,11.02,4.33
IJ6-B69-050,4.53,11.02,4.33
E54-090-065,4.53,11.02,4.33
DG5-B12-070,4.53,11.02,4.33
DG5-C99-050,4.53,11.02,4.33
JC8-A20-050,4.53,11.02,4.33
HI5-B04-070,4.53,11.02,4.33
JC8-090-050,4.53,11.02,4.33
R08-194-065,4.53,11.02,4.33
E54-399-070,4.53,11.02,4.33
E54-090-060,4.53,11.02,4.33
DG5-B12-060,4.53,11.02,4.33
HU8-B11-065,4.53,11.02,4.33
HU8-B24-070,4.53,11.02,4.33
DG5-C99-060,4.53,11.02,4.33
E54-011-070,4.53,11.02,4.33
JC8-C34-070,4.53,11.02,4.33
IJ6-B69-060,4.53,11.02,4.33
E54-194-050,4.53,11.02,4.33
IJ6-B58-050,4.53,11.02,4.33
E54-090-050,4.53,11.02,4.33
IJ6-B69-070,4.53,11.02,4.33
HU8-B11-070,4.53,11.02,4.33
J80-001-070,4.53,11.02,4.33
JC8-A20-060,4.53,11.02,4.33
HU8-B24-065,4.53,11.02,4.33
R08-001-060,4.53,11.02,4.33
IJ6-B58-060,4.53,11.02,4.33
FP4-A26-110,5.91,9.45,3.94
FP4-A26-130,5.91,9.45,3.94
FP4-694-110,5.91,9.45,3.94
FP4-A40-120,5.91,9.45,3.94
FP4-694-130,5.91,9.45,3.94
FP4-001-110,5.91,9.45,3.94
FP4-694-120,5.91,9.45,3.94
GI6-011-020,5.91,9.45,3.94
FP2-A34-010,5.91,9.45,3.94
FP4-A40-130,5.91,9.45,3.94
FP2-A26-010,5.91,9.45,3.94
FP4-A40-110,5.91,9.45,3.94
FP4-A26-120,5.91,9.45,3.94
FP4-A34-130,5.91,9.45,3.94
HV6-B61-110,5.9,9.4,4.01
HV6-B82-120,6,9.3,4.01
R08-399-090,4.53,11.42,4.33
E2T-D20-090,4.51,11.1,4.5
E2T-D20-070,4.51,11.1,4.5
HV5-B61-020,6,9.4,4.01
HV6-B61-130,6,9.4,4.01
HC6-B18-130,6,9.5,4.01
HC6-B18-110,6,9.5,4.01
HD9-B12-120,6,9.5,4.01
HD9-B09-120,6,9.5,4.01
HD9-B12-130,6,9.5,4.01
HD9-B09-130,6,9.5,4.01
HD9-B09-110,6,9.5,4.01
HC6-B18-120,6,9.5,4.01
HD8-B12-010,6,9.5,4.01
HD8-B09-010,6,9.5,4.01
HD8-B12-020,6,9.5,4.01
HF1-194-070,4.5,12.6,4.06
HF1-194-080,4.5,12.6,4.06
HF1-194-040,4.5,12.6,4.06
HF1-194-060,4.5,12.6,4.06
HF1-194-050,4.5,12.6,4.06
HF1-001-030,4.5,12.52,4.1
HF1-001-040,4.5,12.52,4.1
HF1-001-060,4.5,12.52,4.1
HF1-001-065,4.5,12.52,4.1
HF1-001-050,4.5,12.52,4.1
HF1-001-070,4.5,12.53,4.1
HF1-001-080,4.5,12.53,4.1
HF1-001-090,4.5,12.53,4.1
HF1-194-030,4.52,12.6,4.06
GG6-031-006,8,14.5,2.01
FP2-A26-020,6.3,9.45,3.94
HF1-194-090,4.6,12.6,4.07
GG7-399-003,14,17,1.01
E4R-090-030,6,8,5.01
J80-D11-080,4.72,11.81,4.33
J80-B80-080,4.72,11.81,4.33
EQ3-090-070,4.72,11.81,4.33
J80-D11-070,4.72,11.81,4.33
J80-925-080,4.72,11.81,4.33
ER9-953-070,4.75,12,4.26
EQ4-090-070,4.72,11.81,4.37
EQ4-399-080,4.72,11.81,4.37
EQ4-090-080,4.72,11.81,4.37
EQ4-399-070,4.72,11.81,4.37
JC8-C53-080,4.72,11.42,4.53
JK7-C53-040,4.72,11.42,4.53
JC8-C34-090,4.72,11.42,4.53
J80-001-080,4.72,11.42,4.53
E54-012-090,4.72,11.42,4.53
JK7-090-040,4.72,11.42,4.53
JC8-A20-080,4.72,11.42,4.53
JC8-C53-090,4.72,11.42,4.53
R08-001-090,4.72,11.42,4.53
E54-399-080,4.72,11.42,4.53
E54-012-080,4.72,11.42,4.53
E54-137-090,4.72,11.42,4.53
FD2-090-040,4.72,11.42,4.53
JC8-090-090,4.72,11.42,4.53
DG5-C99-080,4.72,11.42,4.53
DG5-C99-090,4.72,11.42,4.53
HI5-B04-090,4.72,11.42,4.53
R08-001-080,4.72,11.42,4.53
HI3-B04-040,4.72,11.42,4.53
R08-B14-080,4.72,11.42,4.53
DG5-B12-090,4.72,11.42,4.53
HK7-B12-040,4.72,11.42,4.53
HK7-B12-030,4.72,11.42,4.53
J80-399-090,4.72,11.42,4.53
JC8-090-080,4.72,11.42,4.53
FD2-090-030,4.72,11.42,4.53
JK7-C53-030,4.72,11.42,4.53
IJ6-B73-090,4.72,11.42,4.53
E54-399-090,4.72,11.42,4.53
DG5-C44-080,4.72,11.42,4.53
JB2-C30-080,4.72,11.42,4.53
HK7-B12-050,4.72,11.42,4.53
FD2-399-030,4.72,11.42,4.53
FD2-399-040,4.72,11.42,4.53
HK7-001-040,4.72,11.42,4.53
E54-090-090,4.72,11.42,4.53
E54-011-080,4.72,11.42,4.53
E54-010-090,4.72,11.42,4.53
DG5-399-080,4.72,11.42,4.53
HI5-B04-080,4.72,11.42,4.53
E54-090-080,4.72,11.42,4.53
JC8-A20-090,4.72,11.42,4.53
