n,W,L,H
HT5-012-060,8.27,11.81,4.72
HT5-010-065,8.27,11.81,4.72
HP6-001-070,8.27,11.81,4.72
HN4-592-050,8.27,11.81,4.72
HF4-A20-070,8.27,11.81,4.72
HP6-592-065,8.27,11.81,4.72
HP6-592-060,8.27,11.81,4.72
IC5-194-065,8.27,11.81,4.72
E2W-A99-035,8.27,11.81,4.72
E4X-D01-045,8.4,12.2,4.51
593-001-050,8.66,11.81,4.53
HF4-D02-040,8.5,11.6,4.71
HF4-D02-050,8.5,11.6,4.71
IA2-A69-090,8.4,11.5,4.81
IA2-194-070,8.4,11.5,4.81
FW4-477-050,8.07,12.2,4.72
GG2-001-055,8.07,12.2,4.72
GG2-001-065,8.07,12.2,4.72
FW4-137-050,8.07,12.2,4.72
E7Q-194-080,8.07,12.2,4.72
FW4-137-060,8.07,12.2,4.72
E5S-076-030,8.07,12.2,4.72
DV5-001-090,8.07,12.2,4.72
E7Q-001-080,8.07,12.2,4.72
E5Q-090-060,8.07,12.2,4.72
E5S-090-040,8.07,12.2,4.72
GG2-001-050,8.07,12.2,4.72
268-592-060,8.07,12.2,4.72
E7M-030-070,8.07,12.2,4.72
FW4-592-050,8.07,12.2,4.72
E5S-076-040,8.07,12.2,4.72
268-592-070,8.07,12.2,4.72
E5Q-090-050,8.07,12.2,4.72
FW4-090-060,8.07,12.2,4.72
E5P-090-050,8.07,12.2,4.72
GR4-090-060,8.07,12.2,4.72
268-592-050,8.07,12.2,4.72
E5Q-D07-070,8.07,12.2,4.72
IP8-C06-060,8.07,12.2,4.72
IP8-C08-050,8.07,12.2,4.72
IP8-C08-060,8.07,12.2,4.72
FW4-592-060,8.07,12.2,4.72
FW4-090-050,8.07,12.2,4.72
E5Q-D07-060,8.07,12.2,4.72
E5Q-D07-065,8.07,12.2,4.72
E5S-288-030,8.07,12.2,4.72
268-001-070,8.07,12.2,4.72
268-001-065,8.07,12.2,4.72
E5P-090-060,8.07,12.2,4.72
268-592-065,8.07,12.2,4.72
E5Q-D07-050,8.07,12.2,4.72
FH5-090-055,8.07,12.2,4.72
FW4-090-070,8.07,12.2,4.72
FH5-090-065,8.07,12.2,4.72
268-001-050,8.07,12.2,4.72
FW4-137-065,8.07,12.2,4.72
FW4-090-065,8.07,12.2,4.72
FW4-090-055,8.07,12.2,4.72
GG2-194-050,8.07,12.2,4.72
E5P-090-065,8.07,12.2,4.72
GG2-194-070,8.07,12.2,4.72
DV5-001-080,8.07,12.2,4.72
FH5-090-060,8.07,12.2,4.72
FW4-592-070,8.07,12.2,4.72
268-001-060,8.07,12.2,4.72
E7M-030-080,8.07,12.2,4.72
GG2-001-070,8.07,12.2,4.72
GG2-194-060,8.07,12.2,4.72
E7Q-001-070,8.07,12.2,4.72
GG2-001-060,8.07,12.2,4.72
GG2-194-055,8.07,12.2,4.72
FW4-137-070,8.07,12.2,4.72
E5Q-090-065,8.07,12.2,4.72
FH5-090-050,8.07,12.2,4.72
E7Q-194-070,8.07,12.2,4.72
E5S-892-040,8.07,12.2,4.72
FW4-477-070,8.07,12.2,4.72
FW4-477-055,8.07,12.2,4.72
E5Q-090-070,8.07,12.2,4.72
E5P-090-070,8.07,12.2,4.72
E5S-288-040,8.07,12.2,4.72
E5S-090-030,8.07,12.2,4.72
E5S-892-030,8.07,12.2,4.72
GG2-194-065,8.07,12.2,4.72
FW4-477-065,8.07,12.2,4.72
HE6-328-040,8.5,12.15,4.51
HL3-B26-060,7.42,12.5,5.03
HE5-B20-040,8.53,11.32,4.84
E2E-011-030,8.5,12.2,4.51
E2E-011-045,8.5,12.2,4.51
E2E-011-040,8.5,12.2,4.51
E2E-011-035,8.5,12.2,4.51
IK4-001-080,8.1,12.3,4.71
HE9-001-080,7.5,12.5,5.01
HE9-194-090,7.5,12.5,5.01
HE9-001-090,7.5,12.5,5.01
HE9-167-080,7.5,12.5,5.01
HE9-194-080,7.5,12.5,5.01
JJ1-C26-090,7.5,12.5,5.01
JJ1-C26-070,7.5,12.5,5.01
IA2-194-080,8.5,11.5,4.81
IA2-194-090,8.5,11.5,4.81
E4X-D01-040,8.4,11.2,5.01
HK8-011-060,9,12,4.39
IV9-675-045,8.66,11.61,4.72
F65-137-070,8.66,11.61,4.72
IU1-675-065,8.66,11.61,4.72
IV9-C14-040,8.66,11.61,4.72
FE5-675-055,8.66,11.61,4.72
IV9-C14-045,8.66,11.61,4.72
IW2-675-040,8.66,11.61,4.72
ID4-B58-050,8.66,11.61,4.72
ID4-A20-030,8.66,11.61,4.72
HI9-675-060,8.66,11.61,4.72
HI9-399-070,8.66,11.61,4.72
JK1-A99-045,8.66,11.61,4.72
GR3-A76-070,8.66,11.61,4.72
JK1-C52-045,8.66,11.61,4.72
HJ2-C22-060,8.66,11.61,4.72
FE5-090-050,8.66,11.61,4.72
ES7-194-070,8.66,11.61,4.72
ES7-194-060,8.66,11.61,4.72
IB5-B58-030,8.66,11.61,4.72
JJ3-011-050,8.66,11.61,4.72
HI9-011-055,8.66,11.61,4.72
IB8-090-065,8.66,11.61,4.72
IB8-090-055,8.66,11.61,4.72
IW4-090-040,8.66,11.61,4.72
IV9-675-030,8.66,11.61,4.72
IU1-675-070,8.66,11.61,4.72
FV6-090-065,8.66,11.61,4.72
IV9-090-045,8.66,11.61,4.72
HX2-001-050,8.66,11.61,4.72
IU9-090-050,8.66,11.61,4.72
HX2-399-050,8.66,11.61,4.72
FE5-090-055,8.66,11.61,4.72
FE5-090-070,8.66,11.61,4.72
HI9-011-060,8.66,11.61,4.72
FV8-C88-070,8.66,11.61,4.72
IW4-090-030,8.66,11.61,4.72
IU9-090-070,8.66,11.61,4.72
IU9-399-070,8.66,11.61,4.72
E2Q-D20-030,8.66,11.61,4.72
IB5-167-030,8.66,11.61,4.72
HJ1-B06-070,8.66,11.61,4.72
E1D-090-060,8.66,11.61,4.72
HI9-675-070,8.66,11.61,4.72
E6H-001-070,8.66,11.61,4.72
HX2-C99-065,8.66,11.61,4.72
IU1-675-055,8.66,11.61,4.72
IW4-675-030,8.66,11.61,4.72
HI9-399-060,8.66,11.61,4.72
HJ2-B06-050,8.66,11.61,4.72
IW1-C20-030,8.66,11.61,4.72
E6F-001-060,8.66,11.61,4.72
HX2-C99-060,8.66,11.61,4.72
HX2-C99-070,8.66,11.61,4.72
E6F-C91-060,8.66,11.61,4.72
JK1-C52-040,8.66,11.61,4.72
IW2-C15-030,8.66,11.61,4.72
FE5-477-065,8.66,11.61,4.72
JJ3-090-060,8.66,11.61,4.72
FE5-090-065,8.66,11.61,4.72
JK1-B41-045,8.66,11.61,4.72
FQ3-001-070,8.66,11.61,4.72
E1D-C88-070,8.66,11.61,4.72
E1D-194-050,8.66,11.61,4.72
E1K-288-070,8.66,11.61,4.72
HX2-001-070,8.66,11.61,4.72
IW2-C15-045,8.66,11.61,4.72
HI9-C98-065,8.66,11.61,4.72
CM2-090-050,8.66,11.61,4.72
HI9-C98-055,8.66,11.61,4.72
CC6-011-050,8.66,11.61,4.72
E1D-194-070,8.66,11.61,4.72
JK1-B41-040,8.66,11.61,4.72
ES6-592-060,8.66,11.61,4.72
ES6-592-070,8.66,11.61,4.72
EJ8-C23-070,8.66,11.61,4.72
EJ8-C34-060,8.66,11.61,4.72
HJ1-B06-055,8.66,11.61,4.72
HI9-011-065,8.66,11.61,4.72
JJ3-399-050,8.66,11.61,4.72
JJ4-002-030,8.66,11.61,4.72
HJ1-323-055,8.66,11.61,4.72
IU1-565-060,8.66,11.61,4.72
CC6-194-050,8.66,11.61,4.72
IB8-011-055,8.66,11.61,4.72
IB8-011-065,8.66,11.61,4.72
JJ4-090-030,8.66,11.61,4.72
FV6-592-065,8.66,11.61,4.72
EJ8-C23-065,8.66,11.61,4.72
JK1-090-040,8.66,11.61,4.72
JK1-090-045,8.66,11.61,4.72
CC6-090-065,8.66,11.61,4.72
JK1-B41-030,8.66,11.61,4.72
L85-001-065,8.66,11.61,4.72
HI9-B06-055,8.66,11.61,4.72
ES7-592-050,8.66,11.61,4.72
HI9-B06-065,8.66,11.61,4.72
IW2-A99-045,8.66,11.61,4.72
EJ8-090-060,8.66,11.61,4.72
FE5-675-060,8.66,11.61,4.72
JJ4-090-045,8.66,11.61,4.72
JJ3-090-070,8.66,11.61,4.72
IU9-090-060,8.66,11.61,4.72
IU9-399-050,8.66,11.61,4.72
HS8-011-070,8.66,11.61,4.72
IW2-675-045,8.66,11.61,4.72
IW1-C14-045,8.66,11.61,4.72
IV9-090-040,8.66,11.61,4.72
IW1-090-040,8.66,11.61,4.72
HJ1-C23-060,8.66,11.61,4.72
CM2-090-060,8.66,11.61,4.72
HJ1-B38-070,8.66,11.61,4.72
IW2-011-040,8.66,11.61,4.72
HI9-C90-065,8.66,11.61,4.72
CM2-675-060,8.66,11.61,4.72
CM2-675-070,8.66,11.61,4.72
IW1-675-030,8.66,11.61,4.72
IW1-675-040,8.66,11.61,4.72
CC6-675-070,8.66,11.61,4.72
ES7-090-065,8.66,11.61,4.72
HJ1-B84-070,8.66,11.61,4.72
HJ2-B06-070,8.66,11.61,4.72
JK1-C52-030,8.66,11.61,4.72
HJ2-C23-060,8.66,11.61,4.72
HX2-001-060,8.66,11.61,4.72
CC6-194-060,8.66,11.61,4.72
CC6-090-050,8.66,11.61,4.72
GR3-A76-065,8.66,11.61,4.72
IB5-167-040,8.66,11.61,4.72
HU9-B28-065,8.66,11.61,4.72
HI9-B06-050,8.66,11.61,4.72
HI9-675-050,8.66,11.61,4.72
IB5-001-030,8.66,11.61,4.72
GR3-A76-050,8.66,11.61,4.72
GR3-090-060,8.66,11.61,4.72
GR3-090-050,8.66,11.61,4.72
HJ2-B06-060,8.66,11.61,4.72
IW1-288-030,8.66,11.61,4.72
HX2-C99-055,8.66,11.61,4.72
HJ1-323-065,8.66,11.61,4.72
E1K-001-060,8.66,11.61,4.72
IW2-011-045,8.66,11.61,4.72
CC6-675-055,8.66,11.61,4.72
HJ2-C22-050,8.66,11.61,4.72
HJ2-C22-070,8.66,11.61,4.72
IW1-A99-030,8.66,11.61,4.72
IW1-A99-040,8.66,11.61,4.72
FV6-592-070,8.66,11.61,4.72
CM2-054-060,8.66,11.61,4.72
HJ1-C23-065,8.66,11.61,4.72
HJ1-C22-065,8.66,11.61,4.72
HX2-399-060,8.66,11.61,4.72
IK5-675-065,8.66,11.61,4.72
HI9-011-050,8.66,11.61,4.72
IB5-A20-040,8.66,11.61,4.72
HJ1-323-070,8.66,11.61,4.72
GR3-090-070,8.66,11.61,4.72
FV6-592-055,8.66,11.61,4.72
HX2-399-070,8.66,11.61,4.72
HS4-B14-030,8.66,11.61,4.72
CC6-011-055,8.66,11.61,4.72
IB5-001-040,8.66,11.61,4.72
HX2-B41-060,8.66,11.61,4.72
EJ8-323-055,8.66,11.61,4.72
FE5-675-070,8.66,11.61,4.72
FE5-675-065,8.66,11.61,4.72
ES6-592-050,8.66,11.61,4.72
IK5-054-065,8.66,11.61,4.72
IW1-A99-045,8.66,11.61,4.72
ES7-592-070,8.66,11.61,4.72
ES7-090-055,8.66,11.61,4.72
FV8-C88-050,8.66,11.61,4.72
FE5-090-060,8.66,11.61,4.72
F65-137-060,8.66,11.61,4.72
FQ3-001-050,8.66,11.61,4.72
CC6-011-070,8.66,11.61,4.72
E6H-001-060,8.66,11.61,4.72
HI9-399-065,8.66,11.61,4.72
IW1-C15-040,8.66,11.61,4.72
ES7-090-050,8.66,11.61,4.72
E2Q-D20-050,8.66,11.61,4.72
IW1-C20-045,8.66,11.61,4.72
IW2-090-030,8.66,11.61,4.72
IW2-A99-030,8.66,11.61,4.72
CC6-011-060,8.66,11.61,4.72
HI9-399-055,8.66,11.61,4.72
IW2-675-030,8.66,11.61,4.72
FV6-090-055,8.66,11.61,4.72
IW2-A99-040,8.66,11.61,4.72
IW2-B41-030,8.66,11.61,4.72
IW2-B41-040,8.66,11.61,4.72
EJ8-399-060,8.66,11.61,4.72
IW2-C20-045,8.66,11.61,4.72
EJ8-399-070,8.66,11.61,4.72
EJ8-090-065,8.66,11.61,4.72
HI9-675-065,8.66,11.61,4.72
HJ1-B06-065,8.66,11.61,4.72
IB5-A20-030,8.66,11.61,4.72
E1K-001-070,8.66,11.61,4.72
IW1-090-045,8.66,11.61,4.72
E6F-001-050,8.66,11.61,4.72
E6F-001-070,8.66,11.61,4.72
IW2-C20-030,8.66,11.61,4.72
HL7-A89-070,8.66,11.61,4.72
HX2-001-065,8.66,11.61,4.72
HX2-001-055,8.66,11.61,4.72
IW4-399-030,8.66,11.61,4.72
IW4-399-040,8.66,11.61,4.72
HI9-675-055,8.66,11.61,4.72
HL7-A89-060,8.66,11.61,4.72
IK5-011-065,8.66,11.61,4.72
IW4-675-040,8.66,11.61,4.72
C91-001-040,8.66,11.61,4.72
IU1-565-050,8.66,11.61,4.72
EJ8-090-055,8.66,11.61,4.72
HS8-011-060,8.66,11.61,4.72
JJ4-090-040,8.66,11.61,4.72
E1D-090-070,8.66,11.61,4.72
IW2-011-030,8.66,11.61,4.72
FV8-194-070,8.66,11.61,4.72
IU1-565-055,8.66,11.61,4.72
IU1-565-065,8.66,11.61,4.72
L85-399-050,8.66,11.61,4.72
HX2-C99-050,8.66,11.61,4.72
L85-001-060,8.66,11.61,4.72
HJ1-C22-050,8.66,11.61,4.72
L85-001-050,8.66,11.61,4.72
CC6-675-065,8.66,11.61,4.72
CC6-011-065,8.66,11.61,4.72
HJ2-C23-070,8.66,11.61,4.72
IW1-011-040,8.66,11.61,4.72
AS8-323-040,8.66,11.61,4.72
AS8-323-030,8.66,11.61,4.72
CC6-090-055,8.66,11.61,4.72
CM2-675-050,8.66,11.61,4.72
IV9-090-030,8.66,11.61,4.72
ES6-090-065,8.66,11.61,4.72
EJ8-675-060,8.66,11.61,4.72
K25-194-060,8.66,11.61,4.72
IW2-C20-040,8.66,11.61,4.72
GR3-A76-060,8.66,11.61,4.72
HX2-B41-065,8.66,11.61,4.72
HX2-B41-055,8.66,11.61,4.72
L85-001-070,8.66,11.61,4.72
IW1-675-045,8.66,11.61,4.72
IU9-399-065,8.66,11.61,4.72
IU9-399-055,8.66,11.61,4.72
IU9-090-065,8.66,11.61,4.72
IU9-090-055,8.66,11.61,4.72
HJ1-C22-070,8.66,11.61,4.72
HJ1-C22-060,8.66,11.61,4.72
FE5-675-050,8.66,11.61,4.72
HJ1-C23-050,8.66,11.61,4.72
FV8-C88-060,8.66,11.61,4.72
HI9-C90-055,8.66,11.61,4.72
CC6-675-050,8.66,11.61,4.72
FQ3-A20-060,8.66,11.61,4.72
IU1-675-060,8.66,11.61,4.72
IW1-011-030,8.66,11.61,4.72
IW1-011-045,8.66,11.61,4.72
IW1-C15-030,8.66,11.61,4.72
IW2-C15-040,8.66,11.61,4.72
FQ3-A20-050,8.66,11.61,4.72
CC6-675-060,8.66,11.61,4.72
F65-137-050,8.66,11.61,4.72
HK2-001-060,8.66,11.61,4.72
IW1-288-040,8.66,11.61,4.72
HI9-C98-060,8.66,11.61,4.72
F65-399-050,8.66,11.61,4.72
F65-399-065,8.66,11.61,4.72
IW1-C15-045,8.66,11.61,4.72
E6H-001-050,8.66,11.61,4.72
IU1-565-070,8.66,11.61,4.72
E6F-C91-050,8.66,11.61,4.72
E6H-C91-070,8.66,11.61,4.72
E6H-C91-050,8.66,11.61,4.72
E1K-288-050,8.66,11.61,4.72
EJ8-C34-065,8.66,11.61,4.72
IV9-675-040,8.66,11.61,4.72
HK8-675-070,8.66,11.61,4.72
JJ3-011-070,8.66,11.61,4.72
FV6-090-060,8.66,11.61,4.72
FV6-090-070,8.66,11.61,4.72
EJ8-C23-055,8.66,11.61,4.72
IW1-090-030,8.66,11.61,4.72
IW1-C20-040,8.66,11.61,4.72
JJ3-090-050,8.66,11.61,4.72
IW2-090-040,8.66,11.61,4.72
HJ1-C23-070,8.66,11.61,4.72
E1K-001-050,8.66,11.61,4.72
IG5-011-070,8.66,11.61,4.72
HI9-C98-070,8.66,11.61,4.72
HJ1-B06-050,8.66,11.61,4.72
HI9-011-070,8.66,11.61,4.72
HK2-B12-070,8.66,11.61,4.72
HK2-B09-070,8.66,11.61,4.72
E1K-288-060,8.66,11.61,4.72
FV6-592-060,8.66,11.61,4.72
E6H-C91-060,8.66,11.61,4.72
HI9-B06-060,8.66,11.61,4.72
JJ3-011-060,8.66,11.61,4.72
HK2-B09-060,8.66,11.61,4.72
HK2-B09-050,8.66,11.61,4.72
HK2-A99-070,8.66,11.61,4.72
JJ3-399-070,8.66,11.61,4.72
CC6-090-060,8.66,11.61,4.72
CM2-090-070,8.66,11.61,4.72
HK2-A99-050,8.66,11.61,4.72
CM2-826-060,8.66,11.61,4.72
CM2-054-050,8.66,11.61,4.72
IK5-675-055,8.66,11.61,4.72
CC6-090-070,8.66,11.61,4.72
ES6-090-055,8.66,11.61,4.72
ES6-090-050,8.66,11.61,4.72
HK8-675-050,8.66,11.61,4.72
E1D-C88-050,8.66,11.61,4.72
E6F-C91-070,8.66,11.61,4.72
ID4-A20-050,8.66,11.61,4.72
HJ1-C23-055,8.66,11.61,4.72
E1D-C88-060,8.66,11.61,4.72
EJ8-399-055,8.66,11.61,4.72
E2Q-D20-040,8.66,11.61,4.72
HK8-675-055,8.66,11.61,4.72
HK8-675-060,8.66,11.61,4.72
EJ8-323-070,8.66,11.61,4.72
Y12-738-055,8.66,11.61,4.72
EJ8-399-065,8.66,11.61,4.72
EJ8-323-065,8.66,11.61,4.72
ES6-090-060,8.66,11.61,4.72
ES7-090-060,8.66,11.61,4.72
EJ8-090-070,8.66,11.61,4.72
EJ8-090-050,8.66,11.61,4.72
ES7-090-070,8.66,11.61,4.72
L85-001-055,8.66,11.61,4.72
IK5-011-055,8.66,11.61,4.72
IK5-054-055,8.66,11.61,4.72
ES6-592-065,8.66,11.61,4.72
FV8-194-065,8.66,11.61,4.72
HX2-B41-070,8.66,11.61,4.72
HI9-C90-070,8.66,11.61,4.72
FQ3-A20-070,8.66,11.61,4.72
HI9-B06-070,8.66,11.61,4.72
HJ1-B06-060,8.66,11.61,4.72
HJ1-C22-055,8.66,11.61,4.72
HX2-B41-050,8.66,11.61,4.72
EJ8-323-060,8.66,11.61,4.72
IW2-090-045,8.66,11.61,4.72
E1D-194-060,8.66,11.61,4.72
HI9-C90-060,8.66,11.61,4.72
HI9-C90-050,8.66,11.61,4.72
IW1-288-045,8.66,11.61,4.72
HI9-C98-050,8.66,11.61,4.72
IU1-675-050,8.66,11.61,4.72
EJ8-323-050,8.66,11.61,4.72
E1D-090-050,8.66,11.61,4.72
IB8-090-070,8.66,11.61,4.73
IB8-090-060,8.66,11.61,4.73
ID4-399-050,8.66,11.61,4.73
IB8-011-070,8.66,11.61,4.73
ID4-090-050,8.66,11.61,4.73
ID4-194-050,8.66,11.61,4.73
IB8-011-060,8.66,11.61,4.73
ID4-090-040,8.66,11.61,4.73
ID4-399-030,8.66,11.61,4.73
ID4-194-040,8.66,11.61,4.73
IB8-011-050,8.66,11.61,4.73
ID4-090-030,8.66,11.61,4.73
IB8-090-050,8.66,11.61,4.73
ID4-194-030,8.66,11.61,4.73
IX1-C75-080,7.5,12.7,5.01
IX1-C75-100,7.5,12.7,5.01
IX1-090-070,7.5,12.7,5.01
IX1-399-080,7.5,12.7,5.01
IX1-090-080,7.5,12.7,5.01
IX1-399-070,7.5,12.7,5.01
IX1-C75-070,7.5,12.7,5.01
IX1-399-100,7.5,12.7,5.01
JJ7-442-100,7.5,12.7,5.01
IX1-C75-090,7.5,12.7,5.01
IX1-090-100,7.5,12.7,5.01
IX1-090-090,7.5,12.7,5.01
IX1-C80-090,7.5,12.7,5.01
IX1-C80-100,7.5,12.7,5.01
IX1-399-090,7.5,12.7,5.01
JM2-D05-060,8.5,12.5,4.51
FN6-090-080,8.5,12.5,4.51
E7X-D12-070,7.5,12.8,5.01
B1B-001-055,8,12,5.01
B1B-001-065,8,12,5.01
E7X-D12-090,7.5,12.8,5.01
E7X-D12-100,7.5,12.8,5.01
E4R-090-050,8,12,5.01
E7X-D12-080,7.5,12.8,5.01
E7X-D32-070,7.5,12.8,5.01
B1B-001-045,8,12,5.01
E4R-090-060,8,12,5.01
E4R-090-070,8,12,5.01
B1B-288-045,8,12,5.01
E4R-090-065,8,12,5.01
E4R-090-040,8,12,5.01
B1B-288-065,8,12,5.01
E4R-090-045,8,12,5.01
B1B-288-055,8,12,5.01
E4R-090-080,8,12,5.01
E7X-D32-090,7.5,12.8,5.01
E4R-090-055,8,12,5.01
E7X-D32-100,7.5,12.8,5.01
HF3-C05-045,8.5,12.15,4.66
GK7-592-050,7.48,12.6,5.12
GY1-399-090,7.48,12.6,5.12
HE7-167-060,7.48,12.6,5.12
GY1-A70-080,7.48,12.6,5.12
HE8-592-065,7.48,12.6,5.12
HE7-001-065,7.48,12.6,5.12
GK7-090-050,7.48,12.6,5.12
HE8-167-070,7.48,12.6,5.12
EH4-861-090,7.48,12.6,5.12
GK7-592-060,7.48,12.6,5.12
HE8-001-065,7.48,12.6,5.12
GY1-A70-090,7.48,12.6,5.12
HE7-194-070,7.48,12.6,5.12
HN2-090-050,7.48,12.6,5.12
HN2-A95-070,7.48,12.6,5.12
HH8-090-060,7.48,12.6,5.12
HE7-A89-060,7.48,12.6,5.12
HE7-194-065,7.48,12.6,5.12
HE8-592-050,7.48,12.6,5.12
HE8-001-060,7.48,12.6,5.12
HE8-194-060,7.48,12.6,5.12
HE7-592-050,7.48,12.6,5.12
HH8-090-070,7.48,12.6,5.12
EH4-861-100,7.48,12.6,5.12
HE7-194-060,7.48,12.6,5.12
HE7-167-065,7.48,12.6,5.12
HE8-001-050,7.48,12.6,5.12
GX2-001-060,7.48,12.6,5.12
GY1-399-080,7.48,12.6,5.12
HE8-592-060,7.48,12.6,5.12
HE8-194-070,7.48,12.6,5.12
HH8-090-050,7.48,12.6,5.12
HE7-A89-070,7.48,12.6,5.12
HN2-090-070,7.48,12.6,5.12
GK7-A48-060,7.48,12.6,5.12
HE8-592-070,7.48,12.6,5.12
HN2-A89-065,7.48,12.6,5.12
HP2-001-070,7.48,12.6,5.12
GK7-A48-065,7.48,12.6,5.12
FD7-090-090,7.48,12.6,5.12
HE7-001-050,7.48,12.6,5.12
HP2-001-050,7.48,12.6,5.12
HE7-A89-050,7.48,12.6,5.12
FD7-090-080,7.48,12.6,5.12
HE7-167-070,7.48,12.6,5.12
HN2-090-060,7.48,12.6,5.12
HE8-167-050,7.48,12.6,5.12
HE7-001-060,7.48,12.6,5.12
HE7-592-060,7.48,12.6,5.12
HE8-A89-060,7.48,12.6,5.12
GK7-090-070,7.48,12.6,5.12
HO9-001-060,7.48,12.6,5.12
HP2-001-060,7.48,12.6,5.12
HE8-A89-065,7.48,12.6,5.12
GK7-090-060,7.48,12.6,5.12
HE7-592-065,7.48,12.6,5.12
HE7-001-070,7.48,12.6,5.12
HE8-167-060,7.48,12.6,5.12
HN2-A95-060,7.48,12.6,5.12
HE7-194-050,7.48,12.6,5.12
HE8-001-070,7.48,12.6,5.12
Q29-167-100,7.48,12.6,5.12
GK7-A48-070,7.48,12.6,5.12
GK7-A48-050,7.48,12.6,5.12
Q29-167-090,7.48,12.6,5.12
HN2-090-065,7.48,12.6,5.12
HE7-167-050,7.48,12.6,5.12
HN2-A89-070,7.48,12.6,5.12
HP2-001-065,7.48,12.6,5.12
HE8-194-050,7.48,12.6,5.12
GK7-592-070,7.48,12.6,5.12
HE7-592-070,7.48,12.6,5.12
HE8-194-065,7.48,12.6,5.12
GK7-592-065,7.48,12.6,5.12
HE8-167-065,7.48,12.6,5.12
GK7-090-065,7.48,12.6,5.12
IV5-C15-055,8.66,11.81,4.72
IV5-001-070,8.66,11.81,4.72
JL5-675-080,8.66,11.81,4.72
IX9-B87-060,8.66,11.81,4.72
IY1-C91-065,8.66,11.81,4.72
IY3-C15-050,8.66,11.81,4.72
IY3-C15-070,8.66,11.81,4.72
JL2-090-080,8.66,11.81,4.72
IY1-090-060,8.66,11.81,4.72
E4I-D27-050,8.66,11.81,4.72
IZ8-090-060,8.66,11.81,4.72
E4I-D27-070,8.66,11.81,4.72
JL2-399-080,8.66,11.81,4.72
IY1-C90-060,8.66,11.81,4.72
E4I-D27-065,8.66,11.81,4.72
JL2-011-080,8.66,11.81,4.72
E7A-194-050,8.66,11.81,4.72
JL2-C35-090,8.66,11.81,4.72
JL2-C35-080,8.66,11.81,4.72
E4I-D27-060,8.66,11.81,4.72
JL2-090-090,8.66,11.81,4.72
E6E-C91-050,8.66,11.81,4.72
JL5-090-080,8.66,11.81,4.72
IY1-C90-065,8.66,11.81,4.72
IE4-011-055,8.66,11.81,4.72
IV5-675-060,8.66,11.81,4.72
E6E-001-050,8.66,11.81,4.72
JF3-B41-090,8.66,11.81,4.72
E4K-D28-050,8.66,11.81,4.72
JL2-399-090,8.66,11.81,4.72
IY1-090-070,8.66,11.81,4.72
E4I-D27-055,8.66,11.81,4.72
IY1-C89-070,8.66,11.81,4.72
JL5-090-090,8.66,11.81,4.72
IY3-C15-065,8.66,11.81,4.72
IY3-C15-060,8.66,11.81,4.72
IY3-090-070,8.66,11.81,4.72
IY3-090-065,8.66,11.81,4.72
IY3-090-060,8.66,11.81,4.72
IY3-090-050,8.66,11.81,4.72
IX9-B87-050,8.66,11.81,4.72
IX9-B87-070,8.66,11.81,4.72
IX9-090-070,8.66,11.81,4.72
E7A-C88-060,8.66,11.81,4.72
IX9-090-060,8.66,11.81,4.72
IY1-090-050,8.66,11.81,4.72
IV5-675-050,8.66,11.81,4.72
IV5-675-055,8.66,11.81,4.72
IY1-C91-050,8.66,11.81,4.72
E7A-001-060,8.66,11.81,4.72
E7A-001-055,8.66,11.81,4.72
JL5-675-090,8.66,11.81,4.72
E4K-D28-055,8.66,11.81,4.72
IY9-090-065,8.66,11.81,4.72
E4K-D28-065,8.66,11.81,4.72
IY9-A99-060,8.66,11.81,4.72
IV5-001-065,8.66,11.81,4.72
IY1-C89-065,8.66,11.81,4.72
JF3-B41-080,8.66,11.81,4.72
E7A-001-065,8.66,11.81,4.72
IY1-C89-050,8.66,11.81,4.72
E7A-C88-065,8.66,11.81,4.72
E7A-194-055,8.66,11.81,4.72
E7A-194-070,8.66,11.81,4.72
IY9-C15-070,8.66,11.81,4.72
E7A-C88-055,8.66,11.81,4.72
IY9-090-050,8.66,11.81,4.72
FQ6-090-060,8.66,11.81,4.72
FQ6-090-070,8.66,11.81,4.72
IY1-C90-050,8.66,11.81,4.72
IY9-A99-050,8.66,11.81,4.72
IZ8-C14-065,8.66,11.81,4.72
IZ8-C14-050,8.66,11.81,4.72
IZ8-090-070,8.66,11.81,4.72
IZ8-090-065,8.66,11.81,4.72
IV5-001-055,8.66,11.81,4.72
IV5-C15-065,8.66,11.81,4.72
IY9-090-070,8.66,11.81,4.72
E4K-D28-070,8.66,11.81,4.72
IZ8-C14-060,8.66,11.81,4.72
IY9-C15-065,8.66,11.81,4.72
IV5-C15-070,8.66,11.81,4.72
IV5-675-065,8.66,11.81,4.72
IY1-C91-070,8.66,11.81,4.72
IY1-C91-060,8.66,11.81,4.72
IY1-C89-060,8.66,11.81,4.72
IV5-001-050,8.66,11.81,4.72
IV5-001-060,8.66,11.81,4.72
IZ8-C14-070,8.66,11.81,4.72
E7A-001-070,8.66,11.81,4.72
IY1-C90-055,8.66,11.81,4.72
IX9-090-050,8.66,11.81,4.72
IY9-C15-060,8.66,11.81,4.72
E7A-194-065,8.66,11.81,4.72
E7A-C88-070,8.66,11.81,4.72
E7A-001-050,8.66,11.81,4.72
E7A-194-060,8.66,11.81,4.72
IY9-090-060,8.66,11.81,4.72
IY9-A99-070,8.66,11.81,4.72
IY1-C90-070,8.66,11.81,4.72
IZ8-090-050,8.66,11.81,4.72
